,car_links
0,https://www.autoscout24.com/offers/audi-a4-ohne-tuev-gasoline-blue-64974514-31dc-4970-9ccd-740a5ccf5d25
1,https://www.autoscout24.com/offers/bmw-520-baureihe-5-limo-520i-gasoline-grey-c67ab94b-0654-4c02-9b99-0c776e378f5d
2,https://www.autoscout24.com/offers/ford-mondeo-turnier-trend-klimaanlage-cd-radio-diesel-red-a4a92ac6-70f1-487e-8573-6deb0cdf79c1
3,https://www.autoscout24.com/offers/mercedes-benz-a-160-160-avantgarde-ba-gasoline-7b62a2a6-2109-43b4-8131-7570c3a954ce
4,https://www.autoscout24.com/offers/opel-astra-g-lim-comfort-1-6-8v-sportpaket-gasoline-black-b55551ac-6ef9-4799-bc35-323a82a7ae1b
5,https://www.autoscout24.com/offers/audi-a4-avant-2-5-tdi-diesel-blue-9eb200af-f112-4c45-b752-7ec02802d462
6,https://www.autoscout24.com/offers/bmw-525-d-touring-aut-leder-diesel-blue-43c4d50b-f297-4b6a-906a-7c359ecb32c5
7,https://www.autoscout24.com/offers/ford-focus-1-4-ambiente-klimaanlage-defekt-gasoline-blue-a75ecf8a-45cf-4a52-93c1-2b90794e2111
8,https://www.autoscout24.com/offers/mercedes-benz-a-170-lamellendach-klima-gasoline-blue-ea870d54-abea-442e-8a62-1a596186d956
9,https://www.autoscout24.com/offers/opel-tigra-alu-allwetter-sportpaket-elektrische-fh-gasoline-blue-701f95c4-7232-4263-8479-ad462e6db426
10,https://www.autoscout24.com/offers/audi-a4-2-4-avant-klima-schiebedach-radio-ahk-gasoline-blue-ed843e33-f7d5-4267-8fc6-5f628d0aed34
11,https://www.autoscout24.com/offers/bmw-525-d-touring-aut-leder-diesel-blue-43c4d50b-f297-4b6a-906a-7c359ecb32c5
12,https://www.autoscout24.com/offers/ford-focus-1-4-ambiente-klimaanlage-defekt-gasoline-blue-a75ecf8a-45cf-4a52-93c1-2b90794e2111
13,https://www.autoscout24.com/offers/mercedes-benz-a-170-lamellendach-klima-gasoline-blue-ea870d54-abea-442e-8a62-1a596186d956
14,https://www.autoscout24.com/offers/opel-meriva-1-3-d-gps-airco-pdc-diesel-blue-15e56156-1d3d-4cce-9b08-fa45f0b32008
15,https://www.autoscout24.com/offers/audi-a6-2-8-bose-leder-gasoline-blue-f2992ab3-523c-44dc-9cf5-625dc2a64623
16,https://www.autoscout24.com/offers/bmw-320-da-touring-harman-kardon-dpf-pdc-klima-diesel-red-9c462881-ac67-4412-9033-849066734893
17,https://www.autoscout24.com/offers/ford-fiesta-1-3-style-klimaanlage-cd-radio-tuev-neu-gasoline-silver-58e7d39e-2ed6-40c6-9e31-5ca860efcf05
18,https://www.autoscout24.com/offers/mercedes-benz-c-270-cdi-avantgarde-pdc-bi-xenon-shz-tempomat-diesel-violet-bbc7b343-a56b-4785-96f9-492588bf728c
19,https://www.autoscout24.com/offers/opel-corsa-d-1-2-gas-lpg-navi-klima-pdc-touch-lpg-blue-e723446c-f86e-4534-ac71-177aad09720d
20,https://www.autoscout24.com/offers/audi-100-avant-2-6-e-quattro-2-hand-tuev07-2024-ahk-gasoline-red-1bc62c62-bbb8-46c2-a5db-c1badbb92f1b
21,https://www.autoscout24.com/offers/bmw-328-328i-coupe-gasoline-white-deb78858-9793-4562-95aa-cd066b86473b
22,https://www.autoscout24.com/offers/ford-focus-1-8tdci-trend-diesel-white-be2d59a9-55e5-417f-8c22-d18efb5d180b
23,https://www.autoscout24.com/offers/mercedes-benz-c-200-cdi-automatik-export-diesel-8129efff-e254-4d40-aaf8-970e6a542405
