,mileage,first registration,power,gearbox,engine size,gears,fuel type,fuel consumption,co₂-emissions,colour,manufacturer colour,radio,body type,type,seats,doors,country version,offer number,model code,previous owner,emission class,non-smoker vehicle,price,VAT,equipment,contact_name,contact_number,contact_address,company_name
audi a4 ohne tüv,"450,000 km",09/1995,92 kw (125 hp),manual,"1,781 cc",5,regular/benzine 91,0 l/100 km (comb.),0 g/km (comb.),blue,blau,,sedan,used,0,5,germany,1091410,3333/agl,2,euro 1,yes,€ 390.,,"air conditioning,
automatic climate control,
power windows,",team verkauf,+49 (0)5365 - 96062,"neue straße 53,
38444 wolfsburg heiligendorf, de",hoffmann automobile
bmw 520 baureihe 5 limo 520i,"202,000 km",09/1999,110 kw (150 hp),manual,"1,991 cc",5,gasoline,9 l/100 km (comb.),215 g/km (comb.),grey,blau,,sedan,used,5,4,germany,1091410,0005/569,5,euro 4,yes,€ 999.,,"air conditioning,
Armrest,
automatic climate control,
electrical side mirrors,
leather steering wheel,
power windows,
Sunroof,",hermez mersa,+49 (0)7151 - 2513006,"mercedesstrasse 1,
71384 weinstadt-endersbach, de",mersa automobile
ford mondeo turnier trend klimaanlage cd/radio,"370,000 km",02/2003,85 kw (116 hp),manual,"1,998 cc",5,diesel,6.3 l/100 km (comb.),167 g/km (comb.),red,salsa-rot metallic,,station wagon,used,5,4,germany,3233,0005/569,5,euro 3,yes,"€ 1,000.",,"air conditioning,
Armrest,
electrical side mirrors,
electrically adjustable seats,
electrically heated windshield,
leather steering wheel,
multi-function steering wheel,
power windows,
seat heating,",herr beltekoglu,+49 (0)7162 - 2083790,"postweg 11,
73084 salach, de",autohaus enes gmbh & co.kg
mercedes-benz a 160 160 avantgarde ba,,,,,,,,,,,,,,,,,,,,,,,€ 800.,,,,,,
"opel astra g lim. comfort 1.6 8v ""sportpaket""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renault kadjar 1.3 tce 103kw techno 140 5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aixam crossover | private lease vanaf: € 357 p/m,,,,,,,,,,,,,,,,,,,,,,,€ 357.,1,,,,,
skoda octavia 1.9 tdi glx ** au/hu bis 12/2022 **,,,,,,,,,,,,,,,,,,,,,,,€ 990.,,,,,,
autobianchi a 112 abarth 70hp,,,,,,,,,,,,,,,,,,,,,,,"€ 1,000.",,,,,,
audi a4 avant 2.5 tdi,"335,244 km",04/2003,120 kw (163 hp),manual,"2,496 cc",5,diesel,7.1 l/100 km (comb.),192 g/km (comb.),blue,mingblau perleffekt,,station wagon,used,5,4,germany,skoda octavia,0005/569,3,euro 3,yes,"€ 1,999.",,"air conditioning,
Armrest,
automatic climate control,
electrical side mirrors,
power windows,
seat heating,
Sunroof,",albi avni,+49 (0)7233 - 7014836,"carl-bellmer-str. 5,
75223 niefern, de",albi automobile
bmw 525 d touring*aut*leder*,,,,,,,,,,,,,,,,,,,,,,,"€ 1,300.",,,,,,
ford focus 1.4 ambiente *klimaanlage defekt*,"134,000 km",09/2001,55 kw (75 hp),manual,"1,388 cc",5,super 95,4.1 l/100 km (comb.),96 g/km (comb.),blue,lugano blau,,sedan,used,5,5,germany,s2845,8566/345,2,euro 5,yes,"€ 1,490.",,"power windows,",peter brand,+49 (0)8252 - 4044006,"augsburger str. 47,
86529 schrobenhausen, de",autohaus stiglmayr gmbh
mercedes-benz a 170 / lamellendach / klima /,"215,000 km",06/2006,85 kw (116 hp),manual,"1,699 cc",5,super 95,4.1 l/100 km (comb.),0 g/km (comb.),blue,atoll blau met.,,sedan,used,5,5,germany,mb a 170,0999/alu,2,euro 4,yes,"€ 1,900.",,"air conditioning,
electrical side mirrors,
multi-function steering wheel,
power windows,
Sunroof,
tinted windows,",ihr verkaufsteam,+49 (0)2381 - 902650,"kamener str. 144,
59077 hamm, de",autohaus excellence cars gmbh & co. kg
opel tigra alu/allwetter/sportpaket/elektrische fh,"234,500 km",11/1996,78 kw (106 hp),manual,"1,598 cc",5,super 95,6.8 l/100 km (comb.),163 g/km (comb.),blue,blau,,coupe,used,4,2,germany,2019175 gw__1,0039/934,2,euro 4,yes,"€ 1,590.",,"leather steering wheel,
power windows,
tinted windows,",ihr verkaufsteam,+49 (0)6187 - 4183003,"kilianstädter str. 34,
61137 schöneck bei frankfurt am main, de",automobil outlet-center24 gmbh
"volkswagen polo 1.0 editon ""metropol"" sondermodell",,,,,,,,,,,,,,,,,,,,,,,"€ 1,800.",,,,,,
renault modus 1.6 dynamique // panorama // klimaanlage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acm 4 wd 2.0 tdi 4motion sportline,,,,,,,,,,,,,,,,,,,,,,,"€ 1,500.",,"armrest,",,,,
aixam mega,,,,,,,,,,,,,,,,,,,,,,,"€ 2,000.",,,,,,
peugeot 206 1.4hdi xs,"350,000 km",01/2007,51 kw (69 hp),manual,"1,398 cc",5,diesel,4.4 l/100 km (comb.),177 g/km (comb.),white,schwarz met.,,compact,used,5,3,spain,6952125,3333/agl,2,euro 1,yes,"€ 1,900.",,"multi-function steering wheel,
power windows,
tinted windows,",contáctanos en:,+34 - 936164140,"n 150 km 6-7 (c.c. baricentro frente parquin 4),
08210 barberà del vallès, es",barimotor
austin metro metro 5p 1.0 tweed,,,,,,,,,,,,,,,,,,,,,,,"€ 1,500.",,,,,,
autobianchi fiat giardiniera kombi faltdach,,,,,,,,,,,,,,,,,,,,,,,"€ 1,500.",,,,,,
audi a4 2.4 avant*klima*schiebedach*radio*ahk,"197,250 km",06/1998,121 kw (165 hp),manual,"2,393 cc",5,gasoline,9.5 l/100 km (comb.),226 g/km (comb.),blue,perlmutt-schwarz met.,,station wagon,used,5,4,germany,494,3333/aco,2,euro 3,yes,"€ 2,999.",,"air conditioning,
electrical side mirrors,
leather steering wheel,
power windows,
rain sensor,
Sunroof,",cem karabulut,+49 (0)7032 - 8104036,"hämmerlestr. 6,
71126 gäufelden, de",autohaus cem
opel meriva 1.3 d - gps - airco - pdc,"174,821 km",12/2008,55 kw (75 hp),manual,"1,248 cc",5,diesel,4.1 l/100 km (comb.),135 g/km (comb.),blue,blauw,,compact,used,5,5,germany,22-0759,0999/alu,2,euro 4,yes,"€ 2,500.",,"air conditioning,
automatic climate control,
electrical side mirrors,
multi-function steering wheel,
navigation system,
power windows,
split rear seats,
tinted windows,",proot stani,+32 (0)498 - 527224,"begoniastraat 40,
9810 eke, be",provan motors
renault megane ii 2.0 coupe/cabrio dynamique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aixam mega truck kastenwagen mopedauto microcar 45 km,,,,,,,,,,,,,,,,,,,,,,,"€ 2,450.",,,,,,
austin-healey sprite,,,,,,,,,,,,,,,,,,,,,,,"€ 2,900.",,,,,,
audi a6 2.8 bose leder,"85,000 km",12/1997,142 kw (193 hp),manual,"2,771 cc",5,super 95,9.9 l/100 km (comb.),238 g/km (comb.),blue,blau metallic,,sedan,used,5,4,germany,15860,0588/655,2,euro 3,yes,"€ 3,000.",,"Armrest,
automatic climate control, 2 zones,
cruise control,
electrical side mirrors,
electrically adjustable seats,
leather steering wheel,
light sensor,
multi-function steering wheel,
parking assist system sensors rear,
power windows,
rain sensor,
seat heating,
split rear seats,",jürgen anding,+49 (0)3622 - 4473012,"fröttstädterweg 10,
99880 waltershausen, de","""autohaus nähring"" jürgen anding e.k."
